Id,Centroid_x,Centroid_y,Area,Eccentricity,Key
121,1220,638,696,0.186014308067098,121
122,741,646,694,0.100475675110681,122
123,958,649,700,0.106922215027099,123
124,840,650,694,0.0959895911687518,124
125,77,656,693,0.145429479658314,125
126,1262,669,1375,0.87591911841127,126
127,472,659,695,0.147585774009376,127
128,569,663,696,0.158161021304678,128
129,1099,671,702,0.105054209018577,129
130,240,676,692,0.108308630555185,130
131,39,677,697,0.0888719481316037,131
132,775,677,696,0.0409126528788466,132
133,292,692,699,0.0885403644698647,133
134,937,692,698,0.125013475153036,134
135,403,697,695,0.129122199625818,135
136,650,703,697,0.051399922356391,136
137,1155,705,694,0.07568258885343,137
138,959,722,695,0.0892706380170937,138
139,1364,728,694,0.0907154307707769,139
140,1086,729,701,0.0813922649311724,140
141,592,732,696,0.137299056177638,141
142,416,733,700,0.145129488156246,142
143,519,756,1664,0.839719635039047,143
144,1201,757,697,0.160323566896745,144
145,350,761,692,0.130731138547413,145
146,894,776,1873,0.760494544125626,146
147,208,771,692,0.0976443500657454,147
148,724,782,2069,0.83525761771419,148
149,397,777,697,0.161149949179894,149
150,39,781,694,0.0723491441272359,150
151,840,781,698,0.197526087291483,151
152,555,791,692,0.139961277444288,152
153,667,803,1295,0.838430091172501,153
154,369,809,697,0.136337119612903,154
155,273,817,691,0.0938512411905109,155
156,1156,820,697,0.151142483878484,156
157,5,824,338,0.855109970538269,157
158,820,837,698,0.197526087291483,158
159,305,866,1718,0.850713524469172,159
160,1154,877,1967,0.939376475380002,160
161,231,855,818,0.438424698042625,161
162,122,888,2451,0.959432826357446,162
163,796,866,696,0.169441454069793,163
164,708,867,695,0.103052855637981,164
165,179,875,695,0.163107737008163,165
166,834,881,690,0.10186134968946,166
167,992,882,697,0.0730484707442074,167
168,41,887,697,0.0949068189046215,168
169,496,893,1251,0.816127794047148,169
170,443,892,700,0.131405155474935,170
171,630,893,700,0.178747437725694,171
172,721,896,696,0.115332220431824,172
173,801,901,694,0.142947281488688,173
174,539,922,1260,0.820724849603783,174
175,1027,921,695,0.129122199625818,175
176,1206,920,694,0.183180865929803,176
177,377,942,1332,0.881728535684169,177
178,67,940,693,0.168053602693853,178
179,330,945,690,0.142596275318783,179
180,449,946,661,0.35340447848089,180
181,1391,946,390,0.761217508279947,181
182,273,947,645,0.469799330064605,182
183,851,948,940,0.846810287974282,183
184,18,950,497,0.721887194841067,184
185,1350,950,497,0.73810298513251,185
186,138,951,429,0.796614734782942,186
187,204,953,340,0.857011737298962,187
